_id,bus_no,dest,platform
141,25G,KUVEMPU NAGARA (B.T.M LAYOUT),11B
142,25H,NAYANAPPASHETTY PALYA,11B
143,25J,TAVAREKERE,11B
144,25N,B.T.M LAYOUT SOUTH ,11B
145,26,BYRASANDRA NEW BUS STAND,11B
146,12,BANASHANKARI T.T.M.C,12
147,12D,KADIRENAHALLI PARK,12
148,12F,UMARBAGH BADAVANE,12
149,210E,VASANTHAPURA,12
150,210EA,KENGERI T.T.M.C,12
151,211J,VADERAHALLI,12
152,211L,B.C.C LAYOUT,12
153,211U,JUDICIAL LAYOUT,12
154,212D,AGARA,12
155,212F,THATHAGUNI,12
156,213N,NETTIGERE,12
157,217D,GATTIGERE PALYA,12
158,KBS-5H,HAROHALLI,12
159,15C,KUMARASWAMI LAYOUT,12A
160,15E,KUMARASWAMI LAYOUT,12A
161,15G,KUMARASWAMI LAYOUT 2ND STAGE,12A
162,210A,ISRO LAYOUT,12A
163,210AA,ISRO LAYOUT,12A
164,210HB,UTTARAHALLI (VIA KADIRENAHALLI),12A
165,210R,VASANTHAPURA,12A
166,210U,KUMARASWAMI LAYOUT WEST,12A
167,210X,CHANDRA NAGARA,12A
168,210Z,CHIKKALLASANDRA NAIDU LAYOUT,12A
169,364F,NARAYANAPPANA HALLI,13B
170,364G,KODICHIKKANA HALLI,13B
171,V-342F,SARJAPURA,14
172,165J,KORAMANGALA 8TH BLOCK,14A
173,168D,TAVAREKERE,14A
174,168E,JAI BHEEMANAGARA,14A
175,168F,OLD GURAPPANAPALYA,14A
176,171,KORAMANGALA,14A
177,171B,KORAMANGALA 8TH BLOCK,14A
178,171C,KORAMANGALA KENDRIYA SADANA,14A
179,171D,VENKATAPURA,14A
180,171F,KORAMANGALA HOUSING COMPANY,14B
181,171G,KORAMANGALA,14B
182,171H,KORAMANGALA HOUSING COMPANY,14B
183,171J,KORAMANGALA,14B
184,171PP,KORAMNAGALA,14B
185,V-356,CHANDAPURA,15
186,V-356C,ELECTRONIC CITY WIPRO GATE,15
187,V-356M,ANEKAL,15
188,V-360B,ATTIBELE,15A
189,V-335E,KADUGODI BUS STATION,17
190,V-335EK,HOSKOTE,17
191,V-335EP,RING ROUTE,17
192,335A,SATHYA SAI HOSPITAL,17D
193,335F,LAL BAHADUR SHASTRI NAGAR,17D
194,336B,KEMPAPURA,17D
195,381,THIMMASANDRA,17D
196,V-305D,CHINNASANDRA,18
197,V-317A,HOSAKOTE,18
198,V-319CT,WHITEFIELD TTMC,18
199,138,JEEVANBHEEMA NAGAR,18A
200,314B,C.V. RAMAN NAGAR,18A
201,314D,MALLESH PALYA,18A
202,314F,VIBHUTHIPURA SAMUDYA BHAVANA,18A
203,314G,BYRASANDRA,18A
204,314H,MALLESH PALYA,18A
205,314T,BASAVANAGAR,18A
206,314X,ABBAIAREDDY LAYOUT,18A
207,126,JEEVANAHALLI,19
208,129,SHIVAJINAGAR,19
209,290,NAGAVARA,19
210,290B,NAGAVARA,19
211,290J,MESTRI PALYA,19
212,290T,HBR LAYOUT 1ST STAGE,19
213,291H,RK HEGDE NAGAR,19
214,291M,GOVINDAPURA,19
215,296,HENNUR CROSS,19C
216,296A,YARAPPANAHALLI,19C
217,296B,H.B.R LAYOUT 5TH STAGE,19C
218,296C,KALYAN NAGAR,19C
219,296F,MARASANDRA,19C
220,296N,KADU AGRAHARA,19C
221,296T,H.B.R 1ST STAGE,19C
222,296V,H.B.R B.D.A COMPLEX,19C
223,56,JAGAJEEVANRAM NAGAR,19C
224,57A,BAPUJINAGAR,19C
225,58,TIMBER YARD LAYOUT,19C
226,58C,TELECOM LAYOUT,19C
227,59D,NAYANDAHALLI RAILWAY GATE,19C
228,218A,KAMBIPURA,19C
229,221A,TAVAREKERE,19C
230,300B,BANASAWADI,19C
231,300C,K.R PURA,19C
232,300H,K.R PURA,19C
233,301F,THAMBUCHETTY PALYA,19C
234,302A,BABUSAB PALYA,19C
235,302B,KALYAN NAGAR,19C
236,302F,BABUSAB PALYA,19C
237,302N,KALYAN NAGAR,19C
238,250AB,MEDARAHALLI RAILWAY GATE,20A
239,250B,THAMMENAHALLI,20A
240,250CA,SAHYADRIBALAGA LAYOUT,20A
241,250L,MALLASANDRA HEALTH CENTER,20A
242,250M,M.E.I LAYOUT,20A
243,250P,CHIKKA BANAVARA,20A
244,250S,GELEYARA BALAGA,20A
245,250SA,KUDUREGERE,20A
246,250SB,SASUVE GHATTA,20A
247,250TD,KUDUREGERE,20A
248,V-250ZA,CHIKKA BANAVARA,20A
249,253J,HESARAGHATTA,20A
250,253V,THOTAGERE VILLAGE,20A
251,258T,KANNAMANGALA,20C
252,258VA,BYRASANDRA,20C
253,258VB,CHIKKAMARANAHALLI,20C
254,258VD,BETTASANDRA,20C
255,258WA,JODIRAGITHIMMASANDRA,20C
256,261,PEENYA 2ND STAGE,20C
257,263D,K.S.R GOWDA LYT,20C
258,263F,BYADARAHALLI,20C
259,263G,GANGONDANAHALLI,20C
260,99A,CHOWDESHWARI BUS STAND,22
261,99B,CHOWDESHWARI BUS STAND,22
262,264A,RING ROUTE,22
263,266J,MUTHKUR,22
264,266T,LAKSHMIPURA,22
265,269,RAMACHANDRAPURA,22
266,269B,VIDYARANYAPURA,22
267,271A,ABBIGERE,22
268,271B,KUVEMPUNAGAR 2ND STAGE,22
269,271C,SINGAPURA,22
270,271E,VEERA SAGARA,22
271,271G,SOMASHETTIHALLI,22
272,271K,MUTHYALA NAGAR TEMPLE,22
273,271P,RAGHAVENDRA BADAVANE,22
274,271T,JANAPRIYA GREEN WOOD APARTMENT,22
275,271TA,KEMPAGOWDA GARDEN,22
276,273,PEENYA 2ND STAGE,22
277,273B,MEDARAHALLI,22
278,273C,JALAHALLI CROSS,22
279,273F,PEENYA 2ND STAGE,22
280,273J,VISHWESHWARAIAH ENCLAVE,22
281,275A,RING ROUTE,22
282,275C,ISRO QUARTERS,22
283,276,VIDYARANYAPURA,22A
284,V-276,VIDYARANYAPURA,22A
285,276B,VIRUPAKSHAPURA,22A
286,276C,LOTTEGOLLAHALLI,22A
287,276K,KODIGEHALLI ASHRAMA,22A
288,276P,LOTTEGOLLAHALLI,22A
289,280L,YERAPPANAHALLI,23
290,281A,B.S.F,23
291,281C,I.A.F,23
292,281F,MYLANAHALLI,23
293,281G,BANDE KODIGEHALLI PALYA,23
294,282F,MARANAYAKANAHALLI,23
295,282G,KODAGALAHATTI,23
296,283D,KUDUREGERE COLONY,23
297,284,YELAHANKA,23
298,289M,BEGUR,23
299,289Z,BANDI KODIGEHALLI,23
300,297G,DODDACHIMMANAHALLI,23
301,284D,YELAHANKA SATELLITE TOWN,23A
302,402B,YELAHANKA SATELLITE TOWN 4TH PHASE,23A
303,402C,ATTUR,23A
304,402D,YELAHANKA SATELLITE TOWN 4TH PHASE,23A
305,406,NELAMANGALA,23A
306,285M,DODDABALLAPURA,23B
307,V-285M,DODDABALLAPURA,23B
308,285RC,HESARAGHATTA VILLAGE,23B
309,285W,BASAVALINGAPPA NAGAR,23B
310,279,NAGASHETTI HALLI,23D
311,279E,HEBBAL,23D
312,279H,BHOOPASANDRA,23D
313,279K,PATALAPPA LAYOUT,23D
314,108B,GANGANAGAR,24
315,111C,KAVALBYRASANDRA,24
316,114C,SULTHANAPALYA,24
317,415B,VISHWANATHA NAGENAHALLI,24
318,415G,SHAMPURA,24
319,114B,MANORAYANAPALYA,24
320,104,SADASHIVANAGAR,25
321,145,NEELASANDRA,25A
322,146,VIVEK NAGAR,25A
323,145A,NEELASANDRA ROSE GARDEN,25A
324,146B,SRINIVAGILU,25A
325,146E,EJIPURA,25A
326,340A,RING ROUTE,25B
327,340AA,I.T.I LAYOUT WATER TANK,25B
328,340H,H.S.R 2ND SECTOR,25B
329,341D,BELLANDUR,25B
330,341E,HARALUR,25B
331,342F,SARJAPURA,25B
332,342JB,VALAGERA KALLAHALLI,25B
333,348,MANGAMMANA PALYA,26A
