SL No.,Platform,Bus Route,Starting From,Destination
99,8A,46A,,JAYANAGAR T.T.M.C
100,9,43,Kempegowda Bus Stand,SRI VIDYA NAGAR
101,9,43A,Kempegowda Bus Stand,VIVEKANANDA NAGAR
102,9,43B,Kempegowda Bus Stand,HOSAKEREHALLI
103,9,43C,Kempegowda Bus Stand,MUNEESHWARA NAGAR KEREKODI
104,9,43D,Kempegowda Bus Stand,VEERABHADRA NAGAR
105,9,43E,Kempegowda Bus Stand,SRI VIDYA NAGAR
106,9,43H,Kempegowda Bus Stand,PRAMOD LAYOUT
107,9,43J,,KRISHNAPPA BADAVANE
108,9,43M,,HARIDASAPURA
109,10,10,Kempegowda Bus Stand,AVALAHALLI BDA PARK
110,10,10J,Kempegowda Bus Stand,AVALAHALLI BDA PARK
111,10,36,Kempegowda Bus Stand,KALIDASA LAYOUT
112,10,36A,Kempegowda Bus Stand,AVALAHALLI BDA PARK
113,10,36B,Kempegowda Bus Stand,GIRINAGARA 2ND STAGE
114,10,36D,Kempegowda Bus Stand,MUNEESHWARA BLOCK
115,10,36F,Kempegowda Bus Stand,KALIDASA LAYOUT
116,10,36G,Kempegowda Bus Stand,AVALAHALLI NEW BDA LAYOUT
117,10,35,,KEMPEGOWDA NAGAR SWIMMING POOL
118,11,2,Kempegowda Bus Stand,JP NAGARA 6TH PHASE
119,11,2B,Kempegowda Bus Stand,ELIYAZNAGAR G.N SCHOOL
120,11,2E,Kempegowda Bus Stand,JP NAGAR 6TH PHASE
121,11A,215D,,ESHWARA LAYOUT
122,11A,215E,,ESHWARA LAYOUT
123,11A,215H,,JAMBU SAVARI DINNE
124,11A,V-215H,,JAMBU SAVARI DINNE
125,11A,215HA,,LAL BAHADUR SHASTRI NAGAR 2ND BLOCK
126,11A,215HC,,ACHAPPA LAYOUT
127,11A,215J,,KOTHANOOR
128,11A,215M,,J.P NAGAR 5TH PHASE
129,11A,215MB,,BRIGADE MILLENIUM
130,11A,215N,,ANJANAPURA
131,11A,215NA,,AMRUTHANAGAR
132,11A,215NB,,NANDI GARDEN (AVALAHALLI)
133,11A,215NC,,ANJANAPURA 10TH BLOCK
134,11A,215R,,KOTHANOOR
135,11B,18,,ATAL BIHARI VAJPAYEE BUS STAND
136,11B,22,,BYRASANDRA NEW BUS STAND
137,11B,25A,,KUVEMPU NAGARA (B.T.M LAYOUT)
138,11B,25B,,B.T.M LAYOUT SOUTH 
139,11B,25C,,RING ROUTE
140,11B,25E,,J.P NAGAR 3RD PHASE
141,11B,25G,,KUVEMPU NAGARA (B.T.M LAYOUT)
142,11B,25H,,NAYANAPPASHETTY PALYA
143,11B,25J,,TAVAREKERE
144,11B,25N,,B.T.M LAYOUT SOUTH 
145,11B,26,,BYRASANDRA NEW BUS STAND
146,12,12,Kempegowda Bus Stand,BANASHANKARI T.T.M.C
147,12,12D,Kempegowda Bus Stand,KADIRENAHALLI PARK
148,12,12F,Kempegowda Bus Stand,UMARBAGH BADAVANE
149,12,210E,Kempegowda Bus Stand,VASANTHAPURA
150,12,210EA,Kempegowda Bus Stand,KENGERI T.T.M.C
151,12,211J,,VADERAHALLI
152,12,211L,,B.C.C LAYOUT
153,12,211U,,JUDICIAL LAYOUT
154,12,212D,,AGARA
155,12,212F,,THATHAGUNI
156,12,213N,,NETTIGERE
157,12,217D,,GATTIGERE PALYA
158,12,KBS-5H,,HAROHALLI
159,12A,15C,,KUMARASWAMI LAYOUT
160,12A,15E,,KUMARASWAMI LAYOUT
161,12A,15G,,KUMARASWAMI LAYOUT 2ND STAGE
162,12A,210A,,ISRO LAYOUT
163,12A,210AA,,ISRO LAYOUT
164,12A,210HB,,UTTARAHALLI (VIA KADIRENAHALLI)
165,12A,210R,,VASANTHAPURA
166,12A,210U,,KUMARASWAMI LAYOUT WEST
167,12A,210X,,CHANDRA NAGARA
168,12A,210Z,,CHIKKALLASANDRA NAIDU LAYOUT
169,13B,364F,Kempegowda Bus Stand,NARAYANAPPANA HALLI
170,13B,364G,Kempegowda Bus Stand,KODICHIKKANA HALLI
171,14,V-342F,,SARJAPURA
172,14A,165J,Kempegowda Bus Stand,KORAMANGALA 8TH BLOCK
173,14A,168D,Kempegowda Bus Stand,TAVAREKERE
174,14A,168E,Kempegowda Bus Stand,JAI BHEEMANAGARA
175,14A,168F,Kempegowda Bus Stand,OLD GURAPPANAPALYA
176,14A,171,Kempegowda Bus Stand,KORAMANGALA
177,14A,171B,Kempegowda Bus Stand,KORAMANGALA 8TH BLOCK
178,14A,171C,Kempegowda Bus Stand,KORAMANGALA KENDRIYA SADANA
179,14A,171D,Kempegowda Bus Stand,VENKATAPURA
180,14B,171F,Kempegowda Bus Stand,KORAMANGALA HOUSING COMPANY
181,14B,171G,Kempegowda Bus Stand,KORAMANGALA
182,14B,171H,Kempegowda Bus Stand,KORAMANGALA HOUSING COMPANY
183,14B,171J,Kempegowda Bus Stand,KORAMANGALA
184,14B,171PP,Kempegowda Bus Stand,KORAMNAGALA
185,15,V-356,,CHANDAPURA
186,15,V-356C,,ELECTRONIC CITY WIPRO GATE
187,15,V-356M,,ANEKAL
188,15A,V-360B,,ATTIBELE
