_id,bus_no,dest,platform
48,G7,"SUJATHA, PRASANNA, SUNKADAKATTE, GOLLARAHATTI, KADABAGERE CROSS",4B
49,88,"SUJATHA TALKIES, DHOBIGHAT",5
50,88A,"BHASHYAM CIRCLE, DHOBIGHAT",5
51,96,"MALLESHWARAM CIRCLE, SHANKAR MUTT",5
52,96A,"SUJATHA TALKIES, INDUSTRIAL TOWN",5
53,96B,"INDUSTRIAL TOWN, BASAVESHWARANAGAR",5
54,96D,"MARIYAPPANA PALYA, SHANKAR MUTT",5
55,96E,"MALLESHWARAM CIRCLE, MODI HOSPITAL",5
56,96F,"MALLESHWARAM CIRCLE, MARIYAPPANA PALYA",5
57,96G,"NAGAPPA BLOCK, NAVARANG TALKIES",5
58,78A,"SUJATHA, RAJAJINAGAR 1ST BLOCK",6
59,78E,"SUJATHA, ISKON TEMPLE",6
60,80,"SUJATHA, RAJAJINAGAR 1ST BLOCK",6
61,80A,"SUJATHA, MAHALAKSHMI LAYOUT",6
62,80B,"SUJATHA, RAJAJINAGAR 1ST BLOCK",6
63,80C,"ESI, MAHALAKSMI LAYOUT",6
64,80D,"SUJATHA, RAJAJINAGAR 1ST BLOCK",6
65,80E,"SUJATHA, MAHALAKSHMI LAYOUT",6
66,80F,"SUJATHA, KANTEERAVA STUDIO",6
67,80G,"RAJAJINAGAR 1ST BLOCK, KANTEERAVA STUDIO",6A
68,80R,"SUJATHA, MAHALAKSHMI LAYOUT, SHANKARA NAGAR",6A
69,80K,"SUJATHA, ESI, MAHALAKSHMI LAYOUT, JAI MARUTHI NAGAR",6A
70,80L,"ESI, MAHALAKSMI LAYOUT, KANTEERAVA NAGAR",6A
71,89,"SUJATHA, RAJAJINAGAR 1ST BLOCK",6A
72,89A,"SUJATHA, SHANKAR MUTT",6A
73,89B,"SUJATHA, RAJAJINAGAR 1ST BLOCK",6A
74,89C,"ESI, RAJAJINAGAR 1ST BLOCK",6A
75,89D,"CENTRAL, HARISHCHANDRAGHAT, MODI HOSPITAL",6A
76,89E,"SUJATHA, BHEEMAJYOTHINAGAR",7
77,89F,"SUJATHA, RAJAJINAGAR 1ST BLOCK",7
78,252F,"SUJATHA, MAHALAKSHMI LAYOUT",7
79,252H,"SUJATHA, MAHALAKSHMI LAYOUT",7
80,264,"ESI, KRISHNANDANAGAR",7
81,267A,"MAHALAKSHMI LAYOUT, SHANKARNAGAR",7
82,45E,"KR MARKET, KATHRIGUPPE",8A
83,45F,"CHAMARAJAPETE, KATHRIGUPPE",8A
84,45G,"HOSAKEREHALLI CROSS, ITTAMADAVU",8A
85,45H,"CORPORATION, CHAMARAJAPETE",8B
86,45H,"COTTONPETE, CHAMARAJAPETE, BSK 3RD STAGE",8B
87,45K,"KR MARKET, GANESHABHAVANA, ITTAMADUGU",8B
88,45M,"KR MARKET, VIVEKANANDA NAGAR",8B
89,49,"CORPORATION, CHAMARAJAPETE",8B
90,49B,"KR MARKET, CHAMARAJAPETE",8B
91,210P,"THYAGARAJA NAGAR, PADMANABHA NAGAR",8B
92,210W,"CORPORATION, PADMANABHA NAGAR",8B
93,210X,"KR MARKET, MANOTYPE",8B
94,210Z,"KR MARKET, BANASHANKARI",8B
95,210A,"KR MARKET, KUMARASWAMY LAYOUT",9
96,210E,"TOWN HALL, UTTARAHALLI",9
97,210I,"CORPORATION, BANASHANKRI, BDA COMPLEX",9
98,210J,"CORPORATION, PADMANABHA NAGAR",9
99,210K,"CORPORATION, BANASHANKRI, BDA COMPLEX",9
100,210KA,"KR MARKET, PADMANABHA NAGAR",9
101,210NA,"PADMANABHA NAGARA, UTTARAHALLI",9
102,36,"CORPORATION, LALBAGH MAIN GATE",10
103,36A,"KR MARKET, APEX BANK",10
104,36B,"CHAMARAJPETE, APEX BANK",10
105,36D,"KR MARKET, APEX BANK",10
106,36E,"CORPORATION, APEX BANK",10
