_id,bus_no,dest,platform
375,365Q,"BANGALORE DIARY, HULIMAVU GATE, JIGANI HARAGADDE",27A
376,365R,"BANGALORE DIARY, HULIMAVU GATE, GOTTIGERE",27A
377,365W,"BANGALORE DIARY, HULIMAVU GATE, KALKERE, JIGANI",27A
378,367F,"BANGALORE DIARY, HULIMAVU GATE, BASAVANAPURA GATE",27A
379,369CA,"BANGALORE DIARY, BILEKANAHALLI, HULIMAVU",27A
380,369H,"BANGALORE DIARY, BILEKANAHALLI, AREKERE GATE",27A
381,369F,"BANGALORE DIARY, BILEKANAHALLI, CHIKKAMMANAHALLI",27A
382,372F,"BANGALORE DIARY, BILEKANAHALLI, KALKERE, KOPPA GATE",27A
383,304R,"CORPORATION,HALASURU, K.R. PURAM RAILWAY STATION, CHANNASANDRA, MEDIMALLASANDRA, NARAYANAKERE",28
384,304L,"CORPORATION, HALASURU, K.R. PURAM RAILWAY STATION, GARUDACHAR PALYA, HOODI, BODANA HOSAHALLI, DUNNASANDRA",28
385,304X,"HALASURU, K.R. PURAM RAILWAY STATION, CHANNASANDRA, DUNNASANDRA",28
386,304J,"CORPORATION, HALASURU, GARUDACHAR PALYA, HOPE FARM, DUNNASANDRA",28
387,304Z,"GARUDACHAR PALYA, BODANA HOSAHALLI, KALKUNTE AGRAHARA",28
388,305D,"HALASURI, GARUDACHAR PALYA, HOPE FARM",28
389,305S,"HALASURU, GARUDACHAR PALYA, CHANNASANDRA, NADUVATTI",28
390,315J,"HALASURU, K.R. PURAM, AVALAHALLI, BIDARAHALLI, ADURU",28A
391,315K,"HALASURU, BENNIGANAHALLI, CHANNASANDRA BRIDGE, RAMURTHY NAGAR",28A
392,315L,"HALASURU, BENNIGANAHALLI BRIDGE, RING ROAD",28A
393,315P,"HALASURU, BENNIGANAHALLI, RAMURTHY NAGAR, KOWDENAHALLI",28A
394,315T,"HALASURU, BENNIGANAHALLI, KOWDENAHALLI, T.C. PALYA",28A
395,315V,"HALASURU, K.R. PURAM, SADARAMANGALA, HOODI",28A
396,316B,"HALASURU, K.R. PURA, AVALAHALLI, BUDIGERE CROSS",28B
397,316E,"HALASURU, K.R. PURA, AVALAHALLI, CHEEMASANDRA CROSS",28B
398,316G,"HALASURU, K.R. PURA, AVALAHALLI, BUDIGERE CROSS",28B
399,316M,"HALASURU, K.R. PURA, BUDIGERE CROSS, BUDIGERE",28B
400,317A,"HALASURU, K.R. PURA, BUDIGERE CROSS",28B
401,317P,"HALASURU, K.R. PURA, BUDIGERE CROSS, KAJI SONNENAHALLI",28B
402,317V,"HALASURU, K.R.PURA, BUDIGERE CROSS, HOSAKOTE, KODIHALLI, BASAVANAHALLI",28B
403,381,"HALASURU, K.R.PURA, BATTARAHALLI, BUDIGERE CROSS, HOSAKOTE",28B
404,381E,"HALASURU, K.R.PURA, BATTARAHALLI, BUDIGERE CROSS, HOSAKOTE",28B
405,381A,"HALASURU, K.R.PURA, BATTARAHALLI, BUDIGERE CROSS, HOSAKOTE",28B
406,HK12,"HALASURU, K.R.PURA, BATTARAHALLI, BUDIGERE CROSS, HOSAKOTE",28B
407,319F,"HALASURU, GARUDACHAR PALYA, HOODI, AGRAHARA",29
408,319J,"HALASURU, GARUDACHAR PALYA, HOODI, BA AGRAHARA",29
409,320A,"HALASURU, GARUDACHAR PALYA, HOODI, IMMADIHALLI",29
410,321J,"HALASURU, GARUDACHAR PALYA, HOODI, NAGANAYAKANAKOTE",29
411,322A,"HALASURU, CHANNASANDRA, MATKAGURU, MUTHUGADAHALLI",29
412,323AK,"MARATHAHALLI, VARTHUR, RAMAGONDANAHALLI",29A
413,232F,"MARATHAHALLI, VARTHUR, GUNJURU",29A
414,325A,"MARATHAHALLI, SIDDAPURA, VARTHUR",29A
415,327A,"MARATHAHALLI, VARTHUR, GUNJURU",29A
416,327G,"MARATHAHALLI, SIDDAPURA, VARTHUR, NERIGE",29A
417,327K,"MARATHAHALLI, KADUBISANAHALLI, KANNALI, KODATIGET, HEMARE",29A
418,328E,"MARATHAHALLI, SIDDAPURA, KODI",29A
419,328M,"MARATHAHALLI, SIDDAPURA, VARTHUR",29A
420,334C,"DOMLURU, N.A.L., GOLF CLUB",29B
421,334D,"DOMLURU, HAL, MARATHAHALLI, KODI",29B
422,335AA,"MARATHAHALLI, KUNDALAHALLI, GRAPHIT INDIA",29B
423,335N,"DOMLURU, HAL, MARATHAHALLI, ITPL, HOPE FARM",29B
424,335F,"DOMLURU, HAL",29B
425,336B,"DOMLURU, HAL, YAMALURU",29B
426,KBS1I,"DOMLURU, HAL, MARATHAHALLI, ITPL, VAIDEHI",29B
427,KBS1K,"DOMLUR, MARATHAHALLI, SIDDAPURA, KODI, WHITEFIELD",29B
